	AS MFQ AQ	AS MFQ LUM	AS MFQ PQP	AS MFQ PYR	AS PYR AQ	AS PYR LUM	AS PYR MFQ	AS PYR PQP	ATM LUM AQ	ATM LUM MFQ	ATM LUM PQP	ATM LUM PYR	DHA PQP AQ	DHA PQP LUM	DHA PQP MFQ	DHA PQP PYR
967_539T_7_5	2631.39589	709.34775	4722.6033	3216.83398	6661.14284	2133.19295	3980.92676	1188.96628	3784.20141	4949.19728	2657.58505	5959.9788	1868.887602	1016.1808	3261.4041	1716.285139
967_539T_8_1	8105.46899	5607.00945	11820.7645	10502.4702	20472.32322	8696.5667	11525.5239	8434.27688	11339.85698	12924.1379	10772.44665	14441.8367	6133.37262	4816.5178	7216.4496	5700.16429
967_539T_8_2	6725.06239	4204.72805	9981.7913	8511.19499	16942.21898	6763.00014	9547.64157	6527.75198	9400.89944	10929.28674	8647.47125	12225.5296	5077.753952	3753.1547	6247.4038	4673.14686
967_539T_8_3	5386.13999	2693.91505	8143.3473	6723.29568	13368.66741	4968.88984	7548.52106	4477.29398	7445.49192	8871.29736	6608.66535	10041.9182	3958.682282	2717.9849	5305.3166	3649.599839
967_539T_8_4	4074.66589	1469.67505	6425.8333	4970.55298	10005.73884	3450.54395	5743.23476	2724.03128	5695.76441	6876.55428	4662.71205	7991.3118	2940.329602	1813.2121	4490.9681	2704.189839
967_539T_9_1	8072.75339	5540.75205	12097.8253	10558.84799	20497.34798	8794.15614	11613.28757	8347.42698	11418.91444	13023.35974	10749.38225	14397.7976	6135.979952	4781.0437	7390.4348	5702.71686
967_539T_9_2	6676.91299	4062.71105	10195.8433	8545.01668	16962.77341	6900.26684	9587.38906	6445.05498	9491.12192	10954.30636	8629.31535	12178.7612	5089.136282	3726.9759	6424.5436	4680.488839
967_539T_9_3	5328.78689	2562.83305	8301.5203	6702.16598	13396.46584	5068.60295	7575.26876	4442.94228	7534.22641	8889.92528	6586.21805	9993.7148	3978.081602	2707.7497	5441.5199	3633.666239
967_539T_10_1	8024.60399	5398.73505	12311.8773	10592.66968	20517.90241	8931.42284	11653.03506	8264.72998	11509.13692	13048.37936	10731.22635	14351.0292	6147.362282	4754.8649	7567.5746	5710.058839
967_539T_10_2	6619.55989	3931.62905	10354.0163	8523.88698	16990.57184	6999.97995	9614.13676	6410.70328	9579.85641	10972.93428	8606.86805	12130.5578	5108.535602	3716.7407	6560.7469	4664.555239
967_539T_11_1	7967.25089	5267.65305	12470.0503	10571.53998	20545.70084	9031.13595	11679.78276	8230.37828	11597.87141	13067.00728	10708.77905	14302.8258	6166.761602	4744.6297	7703.7779	5694.125239
