	AS MFQ AQ	AS MFQ LUM	AS MFQ PQP	AS MFQ PYR	AS PYR AQ	AS PYR LUM	AS PYR MFQ	AS PYR PQP	ATM LUM AQ	ATM LUM MFQ	ATM LUM PQP	ATM LUM PYR	DHA PQP AQ	DHA PQP LUM	DHA PQP MFQ	DHA PQP PYR
931_2__9	-300.46848	-438.2974	313.1116	172.46948	-58.44532	-133.90962	33.12452	-248.559	-169.67072	-198.62977	225.6696	-142.833	-69.93086	-362.9054	-316.0894	-269.153
931_2__10	3399.88075	-452.7413	333.2267	-88.74093	-63.1507	-109.59787	-68.41762	-262.015	-184.32474	-225.131	237.9715	-156.34637	-70.48145	-331.0734	-326.6023	-299.2239
931_3_1	7145.895	4214.933	4261.56	4036.716	5144.454	7354.978	7737.676	5002.037	3769.976	5709.61	4314.231	5327.755	1915.4737	3713.473	3910.717	3798.6
931_3_2	7310.657	3659.344	4088.928	3844.251	5048.665	6779.335	7524.269	4819.469	3609.759	5562.202	4182.501	5409.995	1929.1816	3548.045	3844.53	3887.279
931_3_3	7745.951	2903.307	3972.593	3742.611	4967.188	5903.176	7320.353	4146.417	3593.038	5429.579	4157.046	5471.303	2019.7538	3285.7415	3945.08	4087.272
931_3_4	7081.3727	1936.2556	3734.437	3590.615	4438.239	4326.4572	6695.27	2781.6769	3543.107	4916.24	3854.805	5334.266	2142.7945	2595.7387	3798.529	3790.601
931_3_5	4740.3778	831.26039	3016.6713	3475.799	2989.0921	2379.3352	4932.1706	1337.53527	2555.7313	3936.8422	3029.1239	4288.3884	1578.2664	1492.65296	2997.2179	2452.5119
931_3_6	1849.22707	-26.03191	1909.5024	2943.618	1360.05302	794.30511	2951.0219	244.85847	1299.69901	2450.3565	1755.8492	2377.63684	855.16972	356.12696	1693.51431	900.93587
931_3_7	21.67314	-481.86881	894.5481	1996.7616	186.38501	65.72133	1254.32658	-117.16043	101.38761	1058.16293	749.4126	739.92387	104.83614	-292.68214	526.95751	-85.68243
931_3_8	-384.05021	-631.1077	494.6537	893.31748	-75.1024	-171.63771	347.65282	-332.2108	-234.41801	24.88053	341.6599	-189.74556	-71.31834	-518.6779	-274.26199	-360.73903
931_3_9	3266.78852	-669.8916	472.9004	127.85767	-94.07971	-182.73245	-4.38394	-381.897	-265.93614	-310.40657	340.8729	-230.08934	-101.74433	-521.1303	-473.3071	-427.8952
931_4_1	9725.237	5248.02	5552.658	5210.847	6827.572	9478.684	10376.54	6532.552	5005.098	7608.936	5670.433	7234.212	2617.4883	4869.706	5343.863	5271.264
931_4_2	10118.226	4323.826	5377.639	5097.28	6661.047	8326.637	9819.946	5828.494	4801.044	7272.198	5571.766	7273.834	2650.8908	4528.7985	5190.061	5347.269
931_4_3	9440.4127	3141.9936	5127.221	4906.066	6109.927	6558.6252	9081.082	4388.5539	4709.738	6736.497	5266.384	7035.273	2738.8245	3744.4937	4964.932	4945.219
931_4_4	7319.7198	1864.34739	4307.7693	4649.93	4672.2101	4503.0412	7571.0346	2868.05027	3790.8533	5836.1682	4385.3259	6194.8454	2280.281	2648.88596	4430.3639	3925.1759
931_4_5	4656.79607	638.45009	3198.2134	4196.647	2972.43502	2341.60711	5246.6989	1253.88347	2490.98401	4160.3525	3145.1142	4241.47584	1576.87892	1336.88046	3039.04531	2360.92587
931_4_6	1716.13484	-243.18221	2049.1761	3160.2166	1329.12401	721.17053	3015.05558	124.97647	1218.08761	2365.08093	1858.7506	2303.89387	823.90684	166.07006	1546.80951	772.26457
931_4_7	-145.70311	-703.01591	1067.986	1952.63248	158.8687	4.94629	1223.41742	-245.83743	13.32829	944.80873	872.1808	670.83384	66.16816	-465.53064	357.57291	-226.16413
931_4_8	3183.20679	-862.7019	654.4425	848.70567	-110.73679	-220.46054	310.14436	-465.5488	-330.68343	-86.89627	456.8632	-277.0019	-103.13181	-676.9028	-431.47969	-519.48123
931_5_1	12532.806	5912.502	6841.369	6463.876	8439.954	11025.986	12672.217	7541.577	6196.383	9318.932	7059.698	9098.051	3339.1975	5850.4595	6689.394	6731.254
931_5_2	11812.6877	4562.5126	6532.267	6260.735	7803.786	8982.0862	11580.675	6070.6309	5917.744	8579.116	6681.104	8837.804	3369.9615	4987.5507	6209.913	6205.216
931_5_3	9678.7598	3070.08539	5700.5533	5965.381	6343.8981	6735.2092	9956.8466	4474.92727	4957.4843	7656.4252	5796.9049	7895.8524	2876.311	3797.64096	5596.7669	5079.7939
931_5_4	7236.13807	1671.53709	4489.3114	5370.778	4655.55302	4465.31311	7885.5629	2784.39847	3726.10601	6059.6785	4501.3162	6147.93284	2278.89352	2493.11346	4472.19131	3833.58987
931_5_5	4523.70384	421.29979	3337.8871	4413.2456	2941.50601	2268.47253	5310.73258	1134.00147	2409.37261	4075.07693	3248.0156	4167.73287	1545.61604	1146.82356	2892.34051	2232.25457
931_5_6	1548.75859	-464.32931	2222.614	3116.08748	1301.6077	660.39549	2984.14642	-3.70053	1130.02829	2251.72673	1981.5188	2234.80384	785.23886	-6.77844	1377.42491	631.78287
931_5_7	3421.55389	-934.61011	1227.7748	1908.02067	123.23431	-43.87654	1185.90896	-379.17543	-82.93713	833.03193	987.3841	583.5775	34.35469	-623.75554	200.35521	-384.90633
931_6_1	14227.2677	6151.1886	7995.997	7627.331	9582.693	11681.4352	14432.946	7783.7139	7313.083	10625.85	8169.036	10662.021	4058.2682	6309.2117	7709.246	7589.201
931_6_2	12051.0348	4490.60439	7105.5993	7320.05	8037.7571	9158.6702	12456.4396	6157.00427	6165.4903	9499.0442	7211.6249	9698.3834	3507.448	5040.69796	6841.7479	6339.7909
931_6_3	9595.17807	2877.27509	5882.0954	6686.229	6327.24102	6697.48111	10271.3749	4391.27547	4892.73701	7879.9355	5912.8952	7848.93984	2874.92352	3641.86846	5638.59431	4988.20787
931_6_4	7103.04584	1454.38679	4628.9851	5587.3766	4624.62401	4392.17853	7949.59658	2664.51647	3644.49461	5974.40293	4604.2176	6074.18987	2247.63064	2303.05656	4325.48651	3704.91857
931_6_5	4356.32759	200.15269	3511.325	4369.11648	2913.9897	2207.69749	5279.82342	1005.32447	2321.31329	3961.72273	3370.7838	4098.64284	1506.94806	973.97506	2722.95591	2091.77287
931_6_6	5116.01559	-695.92351	2382.4028	3071.47567	1265.97331	611.57266	2946.63796	-137.03853	1033.76287	2139.94993	2096.7221	2147.5475	753.42539	-165.00334	1220.20721	473.04067
931_7_1	14465.6148	6079.28039	8569.3293	8686.646	9816.6641	11858.0192	15308.7106	7870.08727	7560.8293	11545.7782	8699.5569	11522.6004	4195.7547	6362.35896	8341.0809	7723.7759
931_7_2	11967.45307	4297.79409	7287.1414	8040.898	8021.10002	9120.94211	12770.9679	6073.35247	6100.74301	9722.5545	7327.6152	9651.47084	3506.06052	4884.92546	6883.57531	6248.20487
931_7_3	9462.08584	2660.12479	6021.7691	6902.8276	6296.31201	6624.34653	10335.40858	4271.39347	4811.12561	7794.65993	6015.7966	7775.19687	2843.66064	3451.81156	5491.88951	4859.53657
931_7_4	6935.66959	1233.23969	4802.423	5543.24748	4597.1077	4331.40349	7918.68742	2535.83947	3556.43529	5861.04873	4726.9858	6005.09984	2208.96266	2130.20806	4156.10191	3564.43687
931_7_5	7923.58459	-31.44151	3671.1138	4324.50467	2878.35531	2158.87466	5242.31496	871.98647	2225.04787	3849.94593	3485.9871	4011.3865	1475.13459	815.75016	2565.73821	1933.03067
931_8_1	14382.03307	5886.47009	8750.8714	9407.494	9800.00702	11820.29111	15623.2389	7786.43547	7496.08201	11769.2885	8815.5472	11475.68784	4194.36722	6206.58646	8382.90831	7632.18987
931_8_2	11834.36084	4080.64379	7426.8151	8257.4966	7990.17101	9047.80753	12835.00158	5953.47047	6019.13161	9637.27893	7430.5166	9577.72787	3474.79764	4694.86856	6736.87051	6119.53357
931_8_3	9294.70959	2438.97769	6195.207	6858.69848	6268.7957	6563.57149	10304.49942	4142.71647	4723.06629	7681.30573	6138.5648	7706.10684	2804.99266	3278.96306	5322.50491	4719.05487
931_8_4	10502.92659	1001.64549	4962.2118	5498.63567	4561.47331	4282.58066	7881.17896	2402.50147	3460.16987	5749.27193	4842.1891	5917.8435	2177.14919	1971.98316	3998.88421	3405.69467
931_9_1	14248.94084	5669.31979	8890.5451	9624.0926	9769.07801	11747.15653	15687.27258	7666.55347	7414.47061	11684.01293	8918.4486	11401.94487	4163.10434	6016.52956	8236.20351	7503.51857
931_9_2	11666.98459	3859.49669	7600.253	8213.36748	7962.6547	8987.03249	12804.09242	5824.79347	5931.07229	9523.92473	7553.2848	9508.63784	3436.12966	4522.02006	6567.48591	5979.05187
931_9_3	12861.96659	2207.38349	6354.9958	6814.08667	6233.16131	6514.74866	10266.99096	4009.37847	4626.80087	7569.52893	6253.7681	7618.8505	2773.17919	3120.73816	5165.28721	4560.31267
931_10_1	14081.56459	5448.17269	9063.983	9579.96348	9741.5617	11686.38149	15656.36342	7537.87647	7326.41129	11570.65873	9041.2168	11332.85484	4124.43636	5843.68106	8066.81891	7363.03687
931_10_2	15234.24159	3627.90249	7760.0418	8168.75567	7927.02031	8938.20966	12766.58396	5691.45547	5834.80687	9412.14793	7668.4881	9421.3815	3404.31619	4363.79516	6410.26821	5820.30967
931_11_1	17648.82159	5216.57849	9223.7718	9535.35167	9705.92731	11637.55866	15618.85496	7404.53847	7230.14587	11458.88193	9156.4201	11245.5985	4092.62289	5685.45616	7909.60121	7204.29467
932_1_1	799.1659	822.4161	733.6248	695.0729	1935.848	1834.6	1949.643	2216.052	995.1393	1064.725	664.0067	959.6063	728.5208	945.8716	928.1235	910.4029
932_1_2	801.5563	724.1881	730.5899	679.7697	1846.932	1693.35	1698.197	2166.438	884.8298	900.3118	643.3102	902.0549	673.0867	828.9186	815.346	873.064
932_1_3	735.8636	540.9934	716.7598	668.3265	1783.472	1316.684	1612.674	2114.426	794.2412	818.5838	635.4005	803.1124	646.3363	787.1939	775.6446	798.3325
932_1_4	785.5612	403.0463	647.3885	603.6882	1711.785	1158.253	1573.743	2018.361	870.4279	829.4337	577.8828	861.5513	689.9524	743.4916	789.1586	903.9383
932_1_5	838.3433	229.8258	623.6957	600.5556	1681.966	716.1013	1403.093	1754.631	842.7323	653.5503	558.7787	880.1496	705.8887	568.3367	692.9786	910.4775
932_1_6	793.7153	86.77253	512.181	515.9095	965.0851	202.8319	1029.483	1232.568	620.8661	407.4224	398.2404	642.7466	435.7937	309.9199	454.0351	583.7927
932_1_7	306.7655	-15.1177	180.9742	455.4034	108.7688	46.78359	482.578	310.6232	145.2742	170.8238	101.8708	51.71767	8.241533	107.6408	268.1103	217.0056
932_1_8	-6.15478	-95.87	10.25787	111.6602	-27.9018	-48.7263	121.0018	-66.6263	-18.1541	6.926486	-53.18196	-24.4109	-38.5501	8.898904	47.69349	-19.6191
932_1_9	-21.5432	-159.618	-25.44761	-56.99453	-36.6177	-62.0919	-3.33486	-105.562	-63.6729	-21.1317	-54.7576	-43.7344	-61.2676	-34.3926	-20.2203	-55.7863
932_1_10	-28.8867	-140.074	-2.355201	-72.77383	-26.4884	-48.7377	-29.3507	-115.548	-48.5729	-23.0914	-44.037	-39.7457	-66.6234	-27.3105	-15.8966	-53.6835
932_1_11	-43.7781	-102.76	3.815236	-72.8936	-37.3482	-39.3793	-32.7218	-112.616	-69.2787	-25.7957	-37.3091	-63.8432	-58.1107	-3.71289	-23.3906	-67.1375
932_2__1	1600.7222	1546.6042	1464.2147	1374.8426	3782.78	3527.95	3647.84	4382.49	1879.9691	1965.0368	1307.3169	1861.6612	1401.6075	1774.7902	1743.4695	1783.4669
932_2__2	1537.4199	1265.1815	1447.3497	1348.0962	3630.404	3010.034	3310.871	4280.864	1679.071	1718.8956	1278.7107	1705.1673	1319.423	1616.1125	1590.9906	1671.3965
932_2__3	1521.4248	944.0397	1364.1483	1272.0147	3495.257	2474.937	3186.417	4132.787	1664.6691	1648.0175	1213.2833	1664.6637	1336.2887	1530.6855	1564.8032	1702.2708
932_2__4	1623.9045	632.8721	1271.0842	1204.2438	3393.751	1874.3543	2976.836	3772.992	1713.1602	1482.984	1136.6615	1741.7009	1395.8411	1311.8283	1482.1372	1814.4158
932_2__5	1632.0586	316.59833	1135.8767	1116.4651	2647.0511	918.9332	2432.576	2987.199	1463.5984	1060.9727	957.0191	1522.8962	1141.6824	878.2566	1147.0137	1494.2702
932_2__6	1100.4808	71.65483	693.1552	971.3129	1073.8539	249.61549	1512.061	1543.1912	766.1403	578.2462	500.1112	694.46427	444.035233	417.5607	722.1454	800.7983
932_2__7	300.61072	-110.9877	191.23207	567.0636	80.867	-1.94271	603.5798	243.9969	127.1201	177.750286	48.68884	27.30677	-30.308567	116.539704	315.80379	197.3865
932_2__8	-27.69798	-255.488	-15.18974	54.66567	-64.5195	-110.8182	117.66694	-172.1883	-81.827	-14.205214	-107.93956	-68.1453	-99.8177	-25.493696	27.47319	-75.4054
932_2__9	-50.4299	-299.692	-27.802811	-129.76836	-63.1061	-110.8296	-32.68556	-221.11	-112.2458	-44.2231	-98.7946	-83.4801	-127.891	-61.7031	-36.1169	-109.4698
932_2__10	-72.6648	-242.834	1.460035	-145.66743	-63.8366	-88.117	-62.0725	-228.164	-117.8516	-48.8871	-81.3461	-103.5889	-124.7341	-31.02339	-39.2872	-120.821
932_3_1	2336.5858	2087.5976	2180.9745	2043.1691	5566.252	4844.634	5260.514	6496.916	2674.2103	2783.6206	1942.7174	2664.7736	2047.9438	2561.9841	2519.1141	2581.7994
932_3_2	2322.9811	1668.2278	2094.7382	1951.7844	5342.189	4168.287	4884.614	6299.225	2549.4989	2548.3293	1856.5935	2566.7186	2009.3754	2359.6041	2380.1492	2575.3348
932_3_3	2359.7681	1173.8655	1987.844	1872.5703	5177.223	3191.0383	4589.51	5887.418	2507.4014	2301.5678	1772.062	2544.8133	2042.1774	2099.0222	2257.7818	2612.7483
932_3_4	2417.6198	719.64463	1783.2652	1720.1533	4358.8361	2077.1862	4006.319	5005.56	2334.0263	1890.4064	1534.9019	2384.4475	1831.6348	1621.7482	1936.1723	2398.2085
932_3_5	1938.8241	301.48063	1316.8509	1571.8685	2755.8199	965.71679	2915.154	3297.8222	1608.8726	1231.7965	1058.8899	1574.61387	1149.923933	985.8974	1415.124	1711.2758
932_3_6	1094.32602	-24.21517	703.41307	1082.9731	1045.9521	200.88919	1633.0628	1476.5649	747.9862	585.172686	446.92924	670.05337	405.485133	426.459604	769.83889	781.1792
932_3_7	279.06752	-270.6057	165.78446	510.06907	44.2493	-64.03461	600.24494	138.4349	63.4472	156.618586	-6.06876	-16.42763	-91.576167	82.147104	295.58349	141.6002
932_3_8	-56.58468	-395.562	-17.544941	-18.10816	-91.0079	-159.5559	88.31624	-287.7363	-130.3999	-37.296614	-151.97656	-107.891	-166.4411	-52.804196	11.57659	-129.0889
932_3_9	-94.208	-402.452	-23.987575	-202.66196	-100.4543	-150.2089	-65.40736	-333.726	-181.5245	-70.0188	-136.1037	-147.3233	-186.0017	-65.41599	-59.5075	-176.6073
932_4_1	3122.147	2490.6439	2828.363	2646.8573	7278.037	6002.887	6834.257	8515.277	3544.6382	3613.0543	2520.6002	3526.3249	2737.8962	3305.4757	3308.2727	3485.7377
932_4_2	3161.3244	1898.0536	2718.4339	2552.34	7024.155	4884.3883	6287.707	8053.856	3392.2312	3201.8796	2415.3722	3446.8682	2715.2641	2927.9408	3073.1278	3485.8123
932_4_3	3153.4834	1260.63803	2500.025	2388.4798	6142.3081	3393.8702	5618.993	7119.986	3128.2675	2708.9902	2170.3024	3187.5599	2477.9711	2408.9421	2711.8169	3196.541
932_4_4	2724.3853	704.52693	1964.2394	2175.5567	4467.6049	2123.96979	4488.897	5316.1832	2479.3005	2061.2302	1636.7727	2436.16517	1839.876333	1729.389	2204.2826	2615.2141
932_4_5	1932.66932	205.61063	1327.10877	1683.5287	2727.9181	916.99049	3036.1558	3231.1959	1590.7185	1238.722986	1005.70794	1550.20297	1111.373833	994.796304	1462.81749	1691.6567
932_4_6	1072.78282	-183.83317	677.96546	1025.97857	1009.3344	138.79729	1629.72794	1371.0029	684.3133	564.040986	392.17164	626.31897	344.217533	392.067004	749.61859	725.3929
932_4_7	250.18082	-410.6797	163.429259	437.29524	17.7609	-112.77231	570.89424	22.8869	14.8743	133.527186	-50.10576	-56.17333	-158.199567	54.836604	279.68689	87.9167
932_4_8	-100.36278	-498.322	-13.729705	-91.00176	-128.3561	-198.9352	55.59444	-400.3523	-199.6786	-63.092314	-189.28566	-171.7342	-224.5518	-56.517086	-11.81401	-196.2264
932_5_1	3960.4903	2720.4697	3452.0587	3247.4129	8960.003	6718.9883	8237.35	10269.908	4387.3705	4266.6046	3079.3789	4406.4745	3443.7849	3873.8124	4001.2513	4396.2152
932_5_2	3955.0397	1984.82613	3230.6149	3068.2495	7989.2401	5087.2202	7317.19	9286.424	4013.0973	3609.302	2813.6126	4089.6148	3151.0578	3237.8607	3527.1629	4069.605
932_5_3	3460.2489	1245.52033	2680.9992	2843.8832	6251.0769	3440.65379	6101.571	7430.6092	3273.5417	2879.814	2272.1732	3239.27757	2486.212633	2516.5829	2979.9272	3413.5466
932_5_4	2718.23052	608.65693	1974.49727	2287.2169	4439.7031	2075.24349	4609.8988	5249.5569	2461.1464	2068.156686	1583.59074	2411.75427	1801.326233	1738.287904	2251.97609	2595.595
932_5_5	1911.12612	45.99263	1301.66116	1626.53417	2691.3004	854.89859	3032.82094	3125.6339	1527.0456	1217.591286	950.95034	1506.46857	1050.106233	960.403704	1442.59719	1635.8704
932_5_6	1043.89612	-323.90717	675.610259	953.20474	982.846	90.05959	1600.37724	1255.4549	635.7404	540.949586	348.13464	586.57327	277.594133	364.756504	733.72199	671.7094
932_5_7	206.40272	-513.4397	167.244495	364.40164	-19.5873	-152.15161	538.17244	-89.7291	-54.4044	107.731486	-87.41486	-120.01653	-216.310267	51.123714	256.29629	20.7792
932_6_1	4754.2056	2807.24223	3964.2397	3763.3224	9925.0881	6921.8202	9266.833	11502.476	5008.2366	4674.027	3477.6193	5049.2211	3879.5786	4183.7323	4455.2864	4980.0079
932_6_2	4261.8052	1969.70843	3411.5891	3523.6529	8098.0089	5134.00379	7799.768	9597.0472	4158.3715	3780.1258	2915.4834	4141.33247	3159.299333	3345.5015	3795.2732	4286.6106
932_6_3	3454.09412	1149.65033	2691.25707	2955.5434	6223.1751	3391.92749	6222.5728	7363.9829	3255.3876	2886.740486	2218.99124	3214.86667	2447.662533	2525.481804	3027.62069	3393.9275
932_6_4	2696.68732	449.03893	1949.04966	2230.22237	4403.0854	2013.15159	4606.56394	5143.9949	2397.4735	2047.024986	1528.83314	2368.01987	1740.058633	1703.895304	2231.75579	2539.8087
932_6_5	1882.23942	-94.08137	1299.305959	1553.76034	2664.812	806.16089	3003.47024	3010.0859	1478.4727	1194.499886	906.91334	1466.72287	983.482833	933.093204	1426.70059	1582.1869
932_6_6	1000.11802	-426.66717	679.425495	880.31114	945.4978	50.68029	1567.65544	1142.8389	566.4617	515.153886	310.82554	522.73007	219.483433	361.043614	710.33139	604.5719
932_7_1	5060.9711	2792.12453	4145.2139	4218.7258	10033.8569	6968.60379	9749.411	11813.0992	5153.5108	4844.8508	3579.4901	5100.93877	3887.820133	4291.3731	4723.3967	5197.0135
932_7_2	4255.65042	1873.83843	3421.84697	3635.3131	8070.1071	5085.27749	7920.7698	9530.4209	4140.2174	3787.052286	2862.30144	4116.92157	3120.749233	3354.400404	3842.96669	4266.9915
932_7_3	3432.55092	990.03233	2665.80946	2898.54887	6186.5574	3329.83559	6219.23794	7258.4209	3191.7147	2865.608786	2164.23364	3171.13227	2386.394933	2491.089204	3007.40039	3338.1412
932_7_4	2667.80062	308.96493	1946.694459	2157.44854	4376.597	1964.41389	4577.21324	5028.4469	2348.9006	2023.933586	1484.79614	2328.27417	1673.435233	1676.584804	2215.85919	2486.1252
932_7_5	1838.46132	-196.84137	1303.121195	1480.86674	2627.4638	766.78159	2970.74844	2897.4699	1409.194	1168.704186	869.60424	1402.87967	925.372133	929.380314	1403.30999	1515.0494
932_8_1	5054.81632	2696.25453	4155.47177	4330.386	10005.9551	6919.87749	9870.4128	11746.4729	5135.3567	4851.777286	3526.30814	5076.52787	3849.270033	4300.272004	4771.09019	5177.3944
932_8_2	4234.10722	1714.22043	3396.39936	3578.31857	8033.4894	5023.18559	7917.43494	9424.8589	4076.5445	3765.920586	2807.54384	4073.18717	3059.481633	3320.007804	3822.74639	4211.2052
932_8_3	3403.66422	849.95833	2663.454259	2825.77504	6160.069	3281.09789	6189.88724	7142.8729	3143.1418	2842.517386	2120.19664	3131.38657	2319.771533	2463.778704	2991.50379	3284.4577
932_8_4	2624.02252	206.20493	1950.509695	2084.55494	4339.2488	1925.03459	4544.49144	4915.8309	2279.6219	1998.137886	1447.48704	2264.43097	1615.324533	1672.871914	2192.46859	2418.9877
932_9_1	5033.27312	2536.63653	4130.02416	4273.39147	9969.3374	6857.78559	9867.07794	11640.9109	5071.6838	4830.645586	3471.55054	5032.79347	3788.002433	4265.879404	4750.86989	5121.6081
932_9_2	4205.22052	1574.14643	3394.044159	3505.54474	8007.001	4974.44789	7888.08424	9309.3109	4027.9716	3742.829186	2763.50684	4033.44147	2992.858233	3292.697304	3806.84979	4157.5217
932_9_3	3359.88612	747.19833	2667.269495	2752.88144	6122.7208	3241.71859	6157.16544	7030.2569	3073.8631	2816.721686	2082.88754	3067.54337	2261.660833	2460.065814	2968.11319	3217.3202
932_10_1	5004.38642	2396.56253	4127.668959	4200.61764	9942.849	6809.04789	9837.72724	11525.3629	5023.1109	4807.554186	3427.51354	4993.04777	3721.379033	4238.568904	4734.97329	5067.9246
932_10_2	4161.44242	1471.38643	3397.859395	3432.65114	7969.6528	4935.06859	7855.36244	9196.6949	3958.6929	3717.033486	2726.19774	3969.59827	2934.747533	3288.984414	3783.45919	4090.3842
932_11_1	4960.60832	2293.80253	4131.484195	4127.72404	9905.5008	6769.66859	9805.00544	11412.7469	4953.8322	4781.758486	3390.20444	4929.20457	3663.268333	4234.856014	4711.58269	5000.7871
950_1_1	1364.697	1093.284	1316.739	1265.077	2047.452	1825.548	1942.72	1715.803	1420.389	1501.033	1303.027	1405.914	970.5354	1307.25	1180.104	1242.925
950_1_2	1362.758	991.925	1323.785	1279.803	2028.124	1686.29	1848.654	1709.263	1276.928	1345.957	1297.213	1382.253	936.1682	1172.445	1207.163	1207.875
950_1_3	1253.005	805.9001	1305.793	1296.338	1937.189	1446.211	1722.063	1672.583	1241.059	1228.58	1291.729	1244.431	850.0729	1155.832	1138.999	1160.289
950_1_4	1355.105	668.2976	1223.217	1161.438	1951.691	1278.619	1689.319	1534.14	1281.447	1264.11	1181.793	1328.733	881.3994	1253.941	1217.504	1172.117
950_1_5	1508.132	460.4117	1204.158	1203.666	1692.415	839.6855	1416.771	1251.708	1196.213	1056.845	1161.8	1235.462	869.1454	1104.434	1249.025	1116.767
950_1_6	1308.782	233.7947	1034.154	1090.938	907.5098	416.3936	1207.209	798.5719	627.6518	763.709	889.6661	845.0275	533.8354	664.5086	1042.35	786.1429
950_1_7	386.0636	-9.88908	440.6582	959.5358	102.0417	64.81915	697.2581	158.7529	44.69778	448.3479	398.9602	47.10308	110.4329	215.9697	742.837	383.3164
950_1_8	28.90294	-108.105	211.3988	597.4761	-5.27614	-15.0071	249.3986	5.708225	-40.3594	124.178	144.0445	18.90569	32.47343	-54.2747	221.4005	56.49138
950_1_9	-15.4798	-164.755	135.4813	60.85167	-20.9236	-43.3854	52.71872	-6.60945	-62.4434	-36.6249	99.05834	-8.76761	15.76968	-75.1026	15.51757	66.92123
950_1_10	-12.4578	-152.702	193.6152	-46.4434	-10.7283	-35.5862	12.7399	47.30087	-72.7524	-38.244	164.1497	-18.8291	-10.1351	-83.8432	-20.6561	121.8711
950_1_11	-27.5606	-135.143	190.0873	-45.41887	-36.6159	-25.5673	15.31618	62.28735	-100.72	-51.7607	178.4438	-36.6328	-53.4799	-77.4876	-22.1864	-2.61458
950_2__1	2727.455	2085.209	2640.524	2544.88	4075.576	3511.838	3791.374	3425.066	2697.317	2846.99	2600.24	2788.167	1906.7036	2479.695	2387.267	2450.8
950_2__2	2615.763	1797.8251	2629.578	2576.141	3965.313	3132.501	3570.717	3381.846	2517.987	2574.537	2588.942	2626.684	1786.2411	2328.277	2346.162	2368.164
950_2__3	2608.11	1474.1977	2529.01	2457.776	3888.88	2724.83	3411.382	3206.723	2522.506	2492.69	2473.522	2573.164	1731.4723	2409.773	2356.503	2332.406
950_2__4	2863.237	1128.7093	2427.375	2365.104	3644.106	2118.3045	3106.09	2785.848	2477.66	2320.955	2343.593	2564.195	1750.5448	2358.375	2466.529	2288.884
950_2__5	2816.914	694.2064	2238.312	2294.604	2599.9248	1256.0791	2623.98	2050.2799	1823.8648	1820.554	2051.4661	2080.4895	1402.9808	1768.9426	2291.375	1902.9099
950_2__6	1694.8456	223.90562	1474.8122	2050.4738	1009.5515	481.21275	1904.4671	957.3248	672.34958	1212.0569	1288.6263	892.13058	644.2683	880.4783	1785.187	1169.4593
950_2__7	414.96654	-117.99408	652.057	1557.0119	96.76556	49.81205	946.6567	164.461125	4.33838	572.5259	543.0047	66.00877	142.90633	161.695	964.2375	439.80778
950_2__8	13.42314	-272.86	346.8801	658.32777	-26.19974	-58.3925	302.11732	-0.901225	-102.8028	87.5531	243.10284	10.13808	48.24311	-129.3773	236.91807	123.41261
950_2__9	-27.9376	-317.457	329.0965	14.40827	-31.6519	-78.9716	65.45862	40.69142	-135.1958	-74.8689	263.20804	-27.59671	5.63458	-158.9458	-5.13853	188.79233
950_2__10	-40.0184	-287.845	383.7025	-91.86227	-47.3442	-61.1535	28.05608	109.58822	-173.4724	-90.0047	342.5935	-55.4619	-63.615	-161.3308	-42.8425	119.25652
950_3_1	3980.46	2891.1091	3946.317	3841.218	6012.765	4958.049	5513.437	5097.649	3938.376	4075.57	3891.969	4032.598	2756.7765	3635.527	3526.266	3611.089
950_3_2	3970.868	2466.1227	3852.795	3737.579	5917.004	4411.12	5260.036	4915.986	3799.434	3838.647	3770.735	3955.417	2667.6405	3582.218	3563.666	3540.281
950_3_3	4116.242	1934.6094	3733.168	3661.442	5581.295	3564.5155	4828.153	4458.431	3718.719	3549.535	3635.322	3808.626	2600.6177	3514.207	3605.528	3449.173
950_3_4	4172.019	1362.504	3461.529	3456.042	4551.6158	2534.6981	4313.299	3584.4199	3105.3118	3084.664	3233.2591	3409.2225	2284.3802	3022.8836	3508.879	3075.0269
950_3_5	3202.9776	684.31732	2678.9702	3254.1398	2701.9665	1320.89825	3321.2381	2209.0328	1868.56258	2268.9019	2450.4263	2127.59258	1513.4137	1984.9123	3034.212	2286.2263
950_3_6	1723.74854	115.80062	1686.211	2647.9499	1004.27536	466.20565	2153.8657	963.033025	631.99018	1336.2349	1432.6708	911.03627	676.74173	826.2036	2006.5875	1225.95068
950_3_7	399.48674	-282.74908	787.5383	1617.86357	75.84196	6.42665	999.37542	157.851675	-58.10502	535.901	642.06304	57.24116	158.67601	86.5924	979.75507	506.72901
950_3_8	0.96534	-425.562	540.4953	611.88437	-36.92804	-93.9787	314.85722	46.399645	-175.5552	49.3091	407.25254	-8.69102	38.10801	-213.2205	216.26197	245.28371
950_3_9	-55.4982	-452.6	519.1838	-31.0106	-68.2678	-104.5389	80.7748	102.97877	-235.9158	-126.6296	441.65184	-64.22951	-47.84532	-236.4334	-27.32493	186.17775
950_4_1	5335.565	3559.4067	5169.534	5002.656	7964.456	6236.668	7202.756	6631.789	5219.823	5339.68	5073.762	5361.331	3638.1759	4889.468	4743.77	4783.206
950_4_2	5479	2926.5344	5056.953	4941.245	7609.419	5250.8055	6676.807	6167.694	4995.647	4895.492	4932.535	5190.879	3536.7859	4686.652	4812.691	4657.048
